id,CH,CH_traditional,Pinyin,POS,EN,CH_Sentence,EN_Sentence,media
33,那,那,nà,pron,"that, those",<b>那</b>是我的书。,<b>That</b> is my book.,
34,上,上,shàng,adj,"previous, last",我<b>上</b>个星期很忙。,I was very busy <b>last</b> week.,
35,但,但,dàn,conj,"but, yet, however",我想去，<b>但</b>我没时间。,"I want to go, <b>but</b> I don't have time.",
36,年,年,nián,measure,year,我在中国住了三<b>年</b>。,I lived in China for three <b>years</b>.,
37,还,還,hái,adv,"still, also, even",我<b>还</b>没吃晚饭呢。,I <b>still</b> haven't eaten dinner yet.,
38,可以,可以,kěyǐ,adj,"passable, not bad",他的表现还算<b>可以</b>。,His performance was <b>passable</b>.,
39,最,最,zuì,adv,"most, best, -est",他是<b>最</b>优秀的。,He is the <b>best</b>.,
40,自己,自己,zìjǐ,pron,"self, oneself, own",你要照顾好<b>自己</b>。,You need to take care of <b>yourself</b>.,
41,为,為,wèi,prep,"for, because of",父母总是<b>为</b>孩子的未来着想。,Parents always think <b>for</b> the sake of their children's future.,
42,来,來,lái,verb,"come, arrive",欢迎<b>来</b>我们家玩。,Welcome to <b>come</b> to our house.,
43,所,所,suǒ,measure,measure word for buildings or institutions,这<b>所</b>学校非常有名。,This <b>school</b> is very famous.,
44,他们,他們,tāmen,pron,"they, them",<b>他们</b>正在吃饭。,<b>They</b> are eating.,
45,两,兩,liǎng,measure,"liang, unit of weight (50g)",帮我称五<b>两</b>茶叶。,Please weigh out five <b>liang</b> of tea leaves for me.,
46,各,各,gè,pron,"each, every",会议结束后，大家<b>各</b>奔东西。,"After the meeting, everyone went their <b>each</b> separate ways.",
47,可,可,kě,verb,"can, may, able to",这里<b>可</b>以抽烟吗？,<b>May</b> I smoke here?,
48,为,為,wéi,verb,"be, become, act as",他被选<b>为</b>主席。,He was elected <b>as</b> the chairman.,
49,或,或,huò,conj,"or, either",茶<b>或</b>咖啡都可以。,Either tea <b>or</b> coffee is fine.,
50,好,好,hǎo,adj,"good, well, fine",今天的天气真<b>好</b>。,The weather today is really <b>good</b>.,
51,等,等,děng,verb,"wait, wait until",请在门口<b>等</b>我。,Please <b>wait</b> for me at the door.,
52,又,又,yòu,adv,"again, and, both... and",他<b>又</b>迟到了。,He is late <b>again</b>.,
53,将,將,jiāng,prep,"introduces object of a verb, will",请<b>将</b>垃圾扔进垃圾桶。,Please <b>[introduces object]</b> throw the trash into the trash can.,
54,因为,因為,yīnwèi,conj,"because, for, since",<b>因为</b>生病，他没来。,"<b>Because</b> he was sick, he didn't come.",
55,于,於,yú,prep,"in, at, to",他出生<b>于</b>北京。,He was born <b>in</b> Beijing.,
56,由,由,yóu,prep,"by, from, through",这事<b>由</b>你负责。,This matter is handled <b>by</b> you.,
57,从,從,cóng,prep,"from, since",我<b>从</b>上海来。,I come <b>from</b> Shanghai.,
58,更,更,gèng,adv,"more, even more",他跑得<b>更</b>快。,He runs <b>even faster</b>.,
59,被,被,bèi,prep,by (passive marker),杯子<b>被</b>打破了。,The cup was broken <b>by</b> someone.,
60,才,才,cái,adv,"only then, just, only",我现在<b>才</b>明白。,I <b>only now</b> understand.,
61,已,已,yǐ,adv,already,他<b>已</b>经离开了。,He has <b>already</b> left.,
62,者,者,zhě,particle,"person who, -er",胜利<b>者</b>获得了奖杯。,The <b>winner</b> received the trophy.,
63,每,每,měi,pron,"every, each",**每**个人都有自己的梦想。,**Every** person has their own dream.,
64,次,次,cì,measure,measure word for times or occurrences,我去过北京三<b>次</b>。,I have been to Beijing three <b>times</b>.,
65,把,把,bǎ,measure,used for objects with handles or handfuls,给我一<b>把</b>雨伞。,Give me <b>an</b> umbrella.,
66,三,三,sān,num,three,桌子上有<b>三</b>本书。,There are <b>three</b> books on the table.,
67,什么,什麼,shénme,pron,"what, anything",你在找<b>什么</b>？,<b>What</b> are you looking for?,
68,问题,問題,wèntí,noun,"problem, question, issue",这是一个非常复杂的<b>问题</b>。,This is a very complex <b>problem</b>.,
69,其,其,qí,pron,"his, her, its, their",每个人都有<b>其</b>特点。,Everyone has <b>their</b> own characteristics.,
70,让,讓,ràng,verb,"allow, let, make",请<b>让</b>我想一想。,Please <b>let</b> me think for a moment.,
71,此,此,cǐ,pron,"this, these, here",<b>此</b>刻我正感到非常幸福。,"At <b>this</b> moment, I am feeling very happy.",
72,做,做,zuò,verb,"do, make, become",他想<b>做</b>一名老师。,He wants to <b>become</b> a teacher.,
73,再,再,zài,adv,"again, once more, then",请<b>再</b>说一遍。,Please say it <b>again</b>.,
74,所以,所以,suǒyǐ,conj,"so, therefore",因为下雨，<b>所以</b>我没去。,"It rained, <b>so</b> I didn't go.",
75,只,只,zhǐ,adv,"only, merely",我<b>只</b>有一块钱。,I <b>only</b> have one yuan.,
76,与,與,yǔ,prep,"with, and",他<b>与</b>我一起去商场。,He went to the mall <b>with</b> me.,
77,则,則,zé,conj,"then, in that case",如果你不努力，<b>则</b>不会成功。,"If you don't work hard, <b>then</b> you won't succeed.",
78,台湾,台灣,Táiwān,noun,Taiwan,我明年打算去<b>台湾</b>旅游。,I plan to travel to <b>Taiwan</b> next year.,
79,却,卻,què,adv,"however, but",他虽然很忙，<b>却</b>依然坚持运动。,"Although he is busy, he <b>however</b> still insists on exercising.",
80,并,並,bìng,conj,"and, furthermore",他完成了作业，<b>并</b>把书包整理好了。,He finished his homework <b>and</b> organized his schoolbag.,
81,位,位,wèi,measure,polite measure word for people,那<b>位</b>老师非常受学生欢迎。,That <b>[measure word]</b> teacher is very popular among students.,
82,想,想,xiǎng,verb,"think, want to",我<b>想</b>喝一杯热咖啡。,I <b>want to</b> drink a cup of hot coffee.,
83,去,去,qù,verb,"go, leave",我们明天一起<b>去</b>公园吧。,Let's <b>go</b> to the park together tomorrow.,
84,呢,呢,ne,particle,"question particle for subjects, indicates affirmation",我很好，你<b>呢</b>？,"I am fine, and <b>you</b>?",
85,学生,學生,xuéshēng,noun,"student, pupil",这名<b>学生</b>学习非常努力。,This <b>student</b> studies very hard.,
86,表示,表示,biǎoshì,verb,"express, indicate, show",他向我<b>表示</b>了由衷的感谢。,He <b>expressed</b> his sincere gratitude to me.,
87,到,到,dào,verb,"arrive, reach, to",我们可以乘火车<b>到</b>北京。,We can take the train <b>to</b> Beijing.,
88,公司,公司,gōngsī,noun,"company, corporation",他在那家<b>公司</b>工作了五年。,He has worked at that <b>company</b> for five years.,
89,将,將,jiāng,prep,used to introduce an object,请<b>将</b>门关上。,Please <b>close</b> the door.,
90,如果,如果,rúguǒ,conj,"if, in case",<b>如果</b>明天下雨，我们就不去了。,"<b>If</b> it rains tomorrow, we won't go.",
91,社会,社會,shèhuì,noun,"society, community",每个人都应该为<b>社会</b>做出贡献。,Everyone should make a contribution to <b>society</b>.,
92,看,看,kàn,verb,"see, look, watch",我喜欢在周末<b>看</b>电影。,I like to <b>watch</b> movies on weekends.,
93,小,小,xiǎo,adj,"small, little, young",这个盒子太<b>小</b>了，放不下。,This box is too <b>small</b> to fit.,
94,天,天,tiān,noun,"sky, heaven, day",<b>天</b>已经黑了。,The <b>sky</b> is already dark.,
95,因此,因此,yīncǐ,conj,"therefore, consequently",他生病了，<b>因此</b>没有去上班。,"He was sick, <b>therefore</b> he didn't go to work.",
96,新,新,xīn,adj,"new, fresh",我买了一双<b>新</b>鞋子。,I bought a pair of <b>new</b> shoes.,
97,但是,但是,dànshì,conj,"but, however",虽然他很累，<b>但是</b>他还是坚持完成了工作。,"Although he was tired, <b>but</b> he still insisted on finishing the work.",
98,它,它,tā,pron,it,我有一只猫，<b>它</b>很可爱。,"I have a cat, and <b>it</b> is very cute.",
99,中,中,zhōng,particle,"in the process of, among",建设<b>中</b>的桥梁即将完工。,The bridge <b>in the process of</b> construction will soon be completed.,
100,使,使,shǐ,verb,"make, cause",这场雨<b>使</b>天气变得凉爽了。,This rain <b>made</b> the weather become cool.,
101,工作,工作,gōngzuò,noun,"work, job",他的<b>工作</b>非常辛苦。,His <b>job</b> is very hard.,
102,全,全,quán,adj,"all, whole",<b>全</b>家人都在客厅看电视。,The <b>whole</b> family is in the living room watching TV.,
103,觉得,覺得,juéde,verb,"feel, think",我<b>觉得</b>今天有点冷。,I <b>feel</b> that today is a bit cold.,
104,使用,使用,shǐyòng,verb,"use, employ",请仔细阅读<b>使用</b>说明。,Please read the <b>use</b> instructions carefully.,
105,这些,這些,zhèxiē,pron,these,<b>这些</b>书都是我的。,<b>These</b> books are all mine.,
106,里,裡,lǐ,noun,"inside, in",书包<b>里</b>有很多书。,There are many books <b>inside</b> the schoolbag.,
107,并,並,bìng,adv,"(not) at all, and",我<b>并</b>不认识那个人。,I do <b>not</b> know that person <b>at all</b>.,
108,由于,由於,yóuyú,conj,"due to, because of",<b>由于</b>天气原因，比赛推迟了。,"<b>Due to</b> the weather, the match was postponed.",
109,时候,時候,shíhou,noun,"time, moment",我回家的<b>时候</b>天已经黑了。,"By the <b>time</b> I got home, it was already dark.",
110,知道,知道,zhīdào,verb,"know, realize",你<b>知道</b>他的名字吗？,Do you <b>know</b> his name?,
111,这样,這樣,zhèyàng,pron,"like this, in this way",<b>这样</b>做是不对的。,Doing it <b>like this</b> is incorrect.,
112,一,一,yī,num,one,桌子上有<b>一</b>本书。,There is <b>one</b> book on the table.,
113,认为,認為,rènwéi,verb,"think, consider",我<b>认为</b>这个计划很可行。,I <b>think</b> this plan is very feasible.,
114,时间,時間,shíjiān,noun,"time, duration",<b>时间</b>过得真快。,<b>Time</b> flies so fast.,
115,事,事,shì,noun,"matter, thing",这件<b>事</b>非常重要。,This <b>matter</b> is very important.,
116,过,過,guò,adv,"excessively, too",我们不能对孩子要求<b>过</b>严。,We shouldn't be <b>excessively</b> strict with children.,
117,向,向,xiàng,prep,"towards, to",请<b>向</b>左转。,Please turn <b>towards</b> the left.,
118,可能,可能,kěnéng,adv,"probably, maybe",明天<b>可能</b>会下雪。,It <b>maybe</b> will snow tomorrow.,
119,中国,中國,Zhōngguó,noun,China,<b>中国</b>是一个伟大的国家。,<b>China</b> is a great country.,
120,美国,美國,Měiguó,noun,"United States, America",他计划明年去<b>美国</b>留学。,He plans to study in the <b>United States</b> next year.,
121,到,到,dào,verb,"arrive, reach",火车已经<b>到</b>站了。,The train has already <b>arrived</b> at the station.,
122,和,和,hé,prep,"with, and",我想<b>和</b>你谈谈。,I want to talk <b>with</b> you.,
123,几,幾,jǐ,num,"how many, several",桌子上有<b>几</b>本书。,There are <b>several</b> books on the table.,
124,系统,系統,xìtǒng,noun,system,这个电脑<b>系统</b>很稳定。,This computer <b>system</b> is very stable.,
125,政府,政府,zhèngfǔ,noun,"government, administration",<b>政府</b>正在制定新法律。,The <b>government</b> is drafting new laws.,
126,大家,大家,dàjiā,pron,"everyone, all",<b>大家</b>都准备好了吗？,Is <b>everyone</b> ready?,
127,国家,國家,guójiā,noun,"country, nation",每个<b>国家</b>都有自己的文化。,Every <b>country</b> has its own culture.,
128,许多,許多,xǔduō,adj,"many, a lot of",我有<b>许多</b>话想对你说。,I have <b>many</b> things to tell you.,
129,生活,生活,shēnghuó,noun,"life, live",这里的<b>生活</b>节奏非常快。,The pace of <b>life</b> here is very fast.,
130,跟,跟,gēn,conj,"and, with (informal / colloquial)",我<b>跟</b>他一起去超市。,I went to the supermarket <b>with</b> him.,pronunciation_zh_跟.mp3
131,已经,已經,yǐjīng,adv,already,他<b>已经</b>离开了。,He has <b>already</b> left.,
132,大学,大學,dàxué,noun,"university, college",她明年就要上<b>大学</b>了。,She will go to <b>university</b> next year.,
133,研究,研究,yánjiù,verb,"research, study",我们需要进一步<b>研究</b>这个问题。,We need to <b>study</b> this issue further.,
134,因,因,yīn,conj,"because, due to",<b>因</b>天气原因，航班延误了。,"<b>Due to</b> weather conditions, the flight was delayed.",
135,本,本,běn,pron,"this, current",<b>本</b>指南介绍了该产品。,<b>This</b> guide introduces the product.,
136,二,二,èr,num,two,他在<b>二</b>号房间。,He is in room <b>two</b>.,
137,活动,活動,huódòng,noun,"activity, event",这个周末有很多<b>活动</b>。,There are many <b>activities</b> this weekend.,
138,该,該,gāi,pron,"this, that",<b>该</b>项目已正式启动。,<b>This</b> project has officially started.,
139,世界,世界,shìjiè,noun,world,这是一个美丽的<b>世界</b>。,This is a beautiful <b>world</b>.,
140,应,應,yīng,verb,"should, ought to",我们<b>应</b>遵守规则。,We <b>should</b> follow the rules.,
141,四,四,sì,num,four,桌子有<b>四</b>条腿。,A table has <b>four</b> legs.,
142,希望,希望,xīwàng,verb,"hope, wish",我<b>希望</b>明天是个晴天。,I <b>hope</b> tomorrow will be a sunny day.,
143,方式,方式,fāngshì,noun,"way, method",生活<b>方式</b>会影响健康。,Life<b>style</b> affects health.,
144,内,內,nèi,noun,"inside, within",书包<b>内</b>有很多书。,There are many books <b>inside</b> the backpack.,
145,项,項,xiàng,measure,"item, measure word for tasks or clauses",这<b>项</b>任务非常艰巨。,This <b>item</b> of work is very difficult.,
146,啊,啊,a,particle,"exclamatory particle, modal particle",天气真好<b>啊</b>！,The weather is so nice <b>!</b>,
147,下,下,xià,verb,"to put in, apply, form",他终于<b>下</b>了决心。,He finally <b>made</b> a decision.,
148,环境,環境,huánjìng,noun,"environment, surroundings, atmosphere",我们需要保护自然<b>环境</b>。,We need to protect the natural <b>environment</b>.,
149,一些,一些,yīxiē,adj,"some, a few, a little",请给我<b>一些</b>水。,Please give me <b>some</b> water.,
150,必须,必須,bìxū,adv,"must, have to",你<b>必须</b>按时完成作业。,You <b>must</b> finish your homework on time.,
151,文化,文化,wénhuà,noun,"culture, civilization",中国有悠久的历史和<b>文化</b>。,China has a long history and <b>culture</b>.,
152,高,高,gāo,adj,"tall, high",那个男孩长得很<b>高</b>。,That boy grew up to be very <b>tall</b>.,
153,孩子,孩子,háizi,noun,"child, kid",<b>孩子</b>们正在公园里玩耍。,The <b>children</b> are playing in the park.,
154,没有,沒有,méiyǒu,verb,"not have, there is not",我今天<b>没有</b>时间看电影。,I do <b>not have</b> time to watch a movie today.,
155,不能,不能,bùnéng,verb,"cannot, may not",你现在<b>不能</b>离开这里。,You <b>cannot</b> leave here now.,
156,如,如,rú,prep,"like, as if, such as",生活<b>如</b>戏。,Life is <b>like</b> a play.,
157,开始,開始,kāishǐ,verb,"begin, start",比赛快要<b>开始</b>了。,The game is about to <b>start</b>.,
158,元,元,yuán,measure,"monetary unit (Yuan), basic unit",这本书一共十<b>元</b>。,This book costs ten <b>yuan</b> in total.,
159,不同,不同,bùtóng,adj,"different, distinct",每个人都有<b>不同</b>的想法。,Everyone has <b>different</b> ideas.,
160,仍,仍,réng,adv,"still, yet",他<b>仍</b>在努力学习。,He is <b>still</b> studying hard.,
161,网络,網路,wǎngluò,noun,"network, internet",现在的<b>网络</b>速度很快。,The <b>internet</b> speed is very fast now.,
162,日本,日本,Rìběn,noun,Japan,我明年打算去<b>日本</b>旅游。,I plan to travel to <b>Japan</b> next year.,
163,用,用,yòng,verb,"use, with",我常<b>用</b>电脑写报告。,I often <b>use</b> a computer to write reports.,
164,中心,中心,zhōngxīn,noun,"center, heart, hub",购物<b>中心</b>就在这儿。,The shopping <b>center</b> is right here.,
165,来,來,lái,particle,"since, in the past",十年<b>来</b>，这里发生了巨大变化。,"In the <b>past</b> ten years, great changes have taken place here.",
166,对,對,duì,measure,measure word for pairs or couples,公园里有一<b>对</b>情侣在散步。,There is a <b>couple</b> walking in the park.,
167,虽然,雖然,suīrán,conj,"although, though",**虽然**外面在下雨，他还是出门了。,"**Although** it was raining outside, he still went out.",
168,重要,重要,zhòngyào,adj,"important, significant",这是一个非常**重要**的决定。,This is a very **important** decision.,
169,地方,地方,dìfāng,noun,"place, space, region",那个**地方**风景很美。,That **place** has beautiful scenery.,
170,进行,進行,jìnxíng,verb,"carry out, conduct, in progress",会议正在**进行**中。,The meeting is currently **in progress**.,
171,关系,關係,guānxì,noun,"relationship, connection, relation",我们之间的**关系**很好。,The **relationship** between us is very good.,
172,市场,市場,shìchǎng,noun,"market, marketplace",妈妈去**市场**买菜了。,Mom went to the **market** to buy vegetables.,
173,太,太,tài,adv,"too, excessively, extremely",今天的太阳**太**大了。,Today's sun is **too** strong.,
174,老师,老師,lǎoshī,noun,"teacher, instructor",我的**老师**非常耐心。,My **teacher** is very patient.,
175,提供,提供,tígōng,verb,"provide, offer, supply",公司为员工**提供**了免费午餐。,The company **provides** free lunch for its employees.,
176,学校,學校,xuéxiào,noun,school,我每天走着去**学校**。,I walk to **school** every day.,
177,应该,應該,yīnggāi,verb,"should, ought to",你**应该**早点睡觉。,You **should** go to sleep earlier.,
178,指出,指出,zhǐchū,verb,"point out, indicate",他**指出**了我的错误。,He **pointed out** my mistake.,
179,经济,經濟,jīngjì,noun,"economy, economics",全球**经济**正在缓慢复苏。,The global **economy** is recovering slowly.,
180,其他,其他,qítā,pron,"other, else, the rest",除了我，**其他**人都走了。,"Except for me, **other** people have all left.",
181,家,家,jiā,noun,"home, family, household",我想回**家**休息。,I want to go **home** and rest.,
182,发展,發展,fāzhǎn,verb,"develop, grow, expand",城市的**发展**非常迅速。,The **development** of the city is very rapid.,
183,教育,教育,jiàoyù,noun,education,良好的**教育**对未来很重要。,A good **education** is very important for the future.,
184,成为,成為,chéngwéi,verb,"become, turn into",他想**成为**一名医生。,He wants to **become** a doctor.,
185,多,多,duō,adj,"many, much, more",这里有很**多**书。,There are **many** books here.,
186,非常,非常,fēicháng,adv,"very, extremely, highly",这个西瓜**非常**甜。,This watermelon is **very** sweet.,
187,便,便,biàn,adv,"then, in that case",如果你不去，我<b>便</b>去。,"If you don't go, <b>then</b> I will go.",
188,方面,方面,fāngmiàn,noun,"aspect, side, respect",他在各<b>方面</b>都很出色。,He is excellent in every <b>aspect</b>.,
189,很多,很多,hěnduō,adj,"many, a lot of",我有<b>很多</b>问题。,I have <b>many</b> questions.,
190,吃,吃,chī,verb,"eat, consume",你<b>吃</b>午饭了吗？,Have you <b>eaten</b> lunch?,
191,然后,然後,ránhòu,conj,"then, after that",先洗手，<b>然后</b>吃饭。,"Wash your hands first, <b>then</b> eat.",
192,未,未,wèi,adv,"not yet, not",任务<b>未</b>完成。,The task is <b>not yet</b> completed.,
193,发现,發現,fāxiàn,verb,"find, discover",他<b>发现</b>了一个错误。,He <b>found</b> an error.,
194,电脑,電腦,diànnǎo,noun,computer,这台<b>电脑</b>很好用。,This <b>computer</b> is very easy to use.,
195,一样,一樣,yīyàng,adj,"same, alike",他们两个<b>一样</b>高。,They are the <b>same</b> height.,
196,而且,而且,érqiě,conj,"furthermore, and",他很聪明，<b>而且</b>很努力。,"He is smart, <b>and</b> hard-working.",
197,心,心,xīn,noun,"heart, mind, center",学习要专<b>心</b>。,You should focus your <b>mind</b> on studying.,
198,不过,不過,bùguò,conj,"but, however, only",他想去，<b>不过</b>他太忙了。,"He wants to go, <b>but</b> he is too busy.",
199,无法,無法,wúfǎ,verb,"unable to, cannot",我<b>无法</b>回答这个问题。,I <b>cannot</b> answer this question.,
200,企业,企業,qìyè,noun,"enterprise, business",这家<b>企业</b>很有名。,This <b>enterprise</b> is very famous.,
201,正,正,zhèng,adv,"precisely, just, currently",我<b>正</b>要出门。,I am <b>just</b> about to go out.,
202,服务,服務,fúwù,verb,"serve, service",他为这家公司<b>服务</b>了十年。,He has <b>served</b> this company for ten years.,
203,较,較,jiào,adv,"relatively, quite",这里的交通<b>较</b>为便利。,The transportation here is <b>relatively</b> convenient.,
204,不会,不會,búhuì,verb,"won't, cannot",我想他<b>不会</b>来了。,I think he <b>won't</b> come.,
205,台湾,臺灣,Táiwān,noun,Taiwan,<b>台湾</b>有很多美食。,There is a lot of delicious food in <b>Taiwan</b>.,
206,曾,曾,céng,adv,"once, ever",他<b>曾</b>是我的老师。,He was <b>once</b> my teacher.,
207,吗,嗎,ma,particle,question particle,你喜欢这首歌<b>吗</b>？,<b>Do</b> you like this song?,
208,空间,空間,kōngjiān,noun,"space, room, dimension",我们需要更多的<b>空间</b>。,We need more <b>space</b>.,
209,看到,看到,kàndào,verb,"see, catch sight of",我在人群中<b>看到</b>了她。,I <b>saw</b> her in the crowd.,
210,五,五,wǔ,num,five,他家里有<b>五</b>口人。,There are <b>five</b> people in his family.,
211,如何,如何,rúhé,adv,"how, in what way",我们应该<b>如何</b>解决这个问题？,<b>How</b> should we solve this problem?,
212,国内,國內,guónèi,adj,"domestic, internal",<b>国内</b>航线已经全部恢复。,<b>Domestic</b> flights have all resumed.,
213,们,們,men,particle,plural marker (for people),孩子<b>们</b>在公园里踢足球。,The <b>children</b> are playing soccer in the park.,
214,无,無,wú,verb,"lack, not have",这里<b>无</b>人居住。,There is <b>no</b> one living here.,
215,对于,對於,duìyú,prep,"regarding, as for",<b>对于</b>这个计划，我完全支持。,"<b>Regarding</b> this plan, I fully support it.",
216,以及,以及,yǐjí,conj,"as well as, and",他研究物理<b>以及</b>数学。,He studies physics <b>as well as</b> mathematics.,
217,之后,之後,zhīhòu,noun,"after, later",下课<b>之后</b>，我们去打篮球。,"<b>After</b> class, we are going to play basketball.",
218,可是,可是,kěshì,conj,"but, however",我想去旅游，<b>可是</b>没有时间。,"I want to travel, <b>but</b> I don't have time.",
219,当,當,dāng,prep,"when, while",<b>当</b>我到家时，天已经黑了。,"<b>When</b> I arrived home, it was already dark.",
220,人员,人員,rényuán,noun,"personnel, staff",所有工作人员<b>人员</b>必须签到。,All <b>personnel</b> must sign in.,
221,比,比,bǐ,prep,"than, compared with",妹妹<b>比</b>我更聪明。,My sister is smarter <b>than</b> me.,
222,先,先,xiān,adv,"first, in advance",请<b>先</b>洗手再吃饭。,Please wash your hands <b>first</b> before eating.,
223,产品,產品,chǎnpǐn,noun,"product, merchandise",这种新<b>产品</b>非常受欢迎。,This new <b>product</b> is very popular.,
224,资讯,資訊,zīxùn,noun,"information, news",我们可以从互联网获取<b>资讯</b>。,We can obtain <b>information</b> from the internet.,
225,资料,資料,zīliào,noun,"data, material",他在收集实验<b>资料</b>。,He is collecting experimental <b>data</b>.,
226,比较,比較,bǐjiào,verb,"compare, contrast",请<b>比较</b>这两张图片的差异。,Please <b>compare</b> the differences between these two pictures.,
227,先生,先生,xiānshēng,noun,"Mr., husband, gentleman",王<b>先生</b>是我的大学老师。,<b>Mr.</b> Wang is my university teacher.,
228,地,地,dì,noun,"ground, land, earth",书掉在了<b>地</b>上。,The book fell on the <b>ground</b>.,
229,除了,除了,chúle,prep,"except, besides",<b>除了</b>他，大家都到了。,"<b>Except</b> for him, everyone has arrived.",
230,大陆,大陸,dàlù,noun,"mainland, continent",他正在中国<b>大陆</b>出差。,He is on a business trip in <b>mainland</b> China.,
231,需要,需要,xūyào,verb,"need, require",我们<b>需要</b>更多的时间。,We <b>need</b> more time.,
232,像,像,xiàng,verb,"be like, resemble",他长得很<b>像</b>他的父亲。,He <b>resembles</b> his father very much.,
233,在,在,zài,prep,"at, in, on",我<b>在</b>北京住了三年。,I lived <b>in</b> Beijing for three years.,
234,给,給,gěi,verb,give,请<b>给</b>我一杯水。,Please <b>give</b> me a glass of water.,
235,岁,歲,suì,measure,year of age,我妹妹今年五<b>岁</b>了。,My younger sister is five <b>years old</b> this year.,
236,请,請,qǐng,verb,"please, invite, request",<b>请</b>进，随便坐。,<b>Please</b> come in and have a seat.,
237,月,月,yuè,noun,"moon, month",八<b>月</b>的天气通常很热。,The weather in <b>August</b> is usually very hot.,
238,些,些,xiē,measure,"some, few, a little",桌子上放着一<b>些</b>书。,There are <b>some</b> books on the table.,
239,名,名,míng,measure,measure word for people,这所学校有三百<b>名</b>学生。,This school has three hundred <b>students</b> (measure word).,
240,另,另,lìng,adj,"another, other",我们可以找<b>另</b>一个时间讨论。,We can find <b>another</b> time to discuss.,
