id,Lemma,POS,PL_full,PL,EN,PL_sentence,EN_sentence,media
23,pingwin,NOUN,pingwin,pingwin,penguin,<b>Pingwin</b> nie potrafi latać.,A <b>penguin</b> cannot fly.,
24,osioł,NOUN,osioł,osioł,donkey,<b>Osioł</b> jest bardzo upartym zwierzęciem.,The <b>donkey</b> is a very stubborn animal.,
25,ryba,NOUN,ryba,ryba,fish,Złowiłem dużą <b>rybę</b> w jeziorze.,I caught a big <b>fish</b> in the lake.,
26,sarna,NOUN,sarna,sarna,"roe deer, deer",<b>Sarna</b> przebiegła przez drogę.,A <b>roe deer</b> ran across the road.,
27,szczur,NOUN,szczur,szczur,rat,<b>Szczur</b> ukrył się w piwnicy.,The <b>rat</b> hid in the basement.,
28,sowa,NOUN,sowa,sowa,owl,<b>Sowa</b> poluje w nocy.,An <b>owl</b> hunts at night.,
29,lis,NOUN,lis,lis,fox,Rudy <b>lis</b> przemykał przez las.,A red <b>fox</b> was slinking through the forest.,
30,małpa,NOUN,małpa,małpa,monkey,<b>Małpa</b> je banana na drzewie.,The <b>monkey</b> is eating a banana in the tree.,
31,tygrys,NOUN,tygrys,tygrys,tiger,<b>Tygrys</b> ma charakterystyczne paski.,The <b>tiger</b> has characteristic stripes.,
32,nosorożec,NOUN,nosorożec,nosorożec,"rhinoceros, rhino",<b>Nosorożec</b> ma grubą skórę.,The <b>rhinoceros</b> has thick skin.,
33,renifer,NOUN,renifer,renifer,"reindeer, caribou",<b>Renifer</b> ciągnie sanie Świętego Mikołaja.,The <b>reindeer</b> pulls Santa Claus's sleigh.,
34,świnka morska,NOUN,świnka morska,świnka morska,guinea pig,Moja <b>świnka morska</b> uwielbia jeść marchewkę.,My <b>guinea pig</b> loves eating carrots.,
35,jeż,NOUN,jeż,jeż,hedgehog,"<b>Jeż</b> zwija się w kuleczkę, gdy się boi.",A <b>hedgehog</b> curls into a ball when it is afraid.,
36,koza,NOUN,koza,koza,goat,<b>Koza</b> daje zdrowe mleko.,The <b>goat</b> gives healthy milk.,
37,łasica,NOUN,łasica,łasica,weasel,<b>Łasica</b> jest bardzo zwinnym drapieżnikiem.,The <b>weasel</b> is a very agile predator.,
38,owad,NOUN,owad,owad,insect,Mucha to mały <b>owad</b>.,A fly is a small <b>insect</b>.,
39,mucha,NOUN,mucha,mucha,fly,Irytująca <b>mucha</b> lata po całym pokoju.,An annoying <b>fly</b> is flying all around the room.,
40,pszczoła,NOUN,pszczoła,pszczoła,bee,<b>Pszzczoła</b> zbiera nektar z kwiatów.,A <b>bee</b> collects nectar from flowers.,
41,motyl,NOUN,motyl,motyl,butterfly,Kolorowy <b>motyl</b> usiadł na kwiatku.,A colorful <b>butterfly</b> sat on a flower.,
42,świerszcz,NOUN,świerszcz,świerszcz,cricket,W nocy słychać było cykanie <b>świerszcza</b>.,The chirping of a <b>cricket</b> could be heard at night.,
43,szczypawka,NOUN,szczypawka,szczypawka,earwig,"Boję się, że <b>szczypawka</b> wejdzie mi do ucha.",I am afraid that an <b>earwig</b> will crawl into my ear.,
44,pająk,NOUN,pająk,pająk,spider,Wielki <b>pająk</b> utkany sieć w rogu pokoju.,A large <b>spider</b> wove a web in the corner of the room.,
45,szerszeń,NOUN,szerszeń,szerszeń,hornet,Ukąszenie <b>szerszenia</b> może być bardzo bolesne.,A <b>hornet</b>'s sting can be very painful.,
46,pluskwa,NOUN,pluskwa,pluskwa,bedbug,"Musimy wezwać dezynsekcję, bo w łóżku pojawiła się <b>pluskwa</b>.",We need to call pest control because a <b>bedbug</b> appeared in the bed.,
47,chrząszcz,NOUN,chrząszcz,chrząszcz,beetle,W Szczebrzeszynie <b>chrząszcz</b> brzmi w trzcinie.,"In Szczebrzeszyn, a <b>beetle</b> buzzes in the reeds.",
48,biedronka,NOUN,biedronka,biedronka,"ladybug, ladybird",Mała <b>biedronka</b> ma czarne kropki na czerwonych skrzydłach.,A small <b>ladybug</b> has black spots on its red wings.,
49,osa,NOUN,osa,osa,wasp,<b>Osa</b> latała natarczywie wokół słoika z dżemem.,A <b>wasp</b> was flying insistently around the jam jar.,
50,karaluch,NOUN,karaluch,karaluch,cockroach,Szybki <b>karaluch</b> przebiegł przez podłogę w kuchni.,A fast <b>cockroach</b> ran across the kitchen floor.,
51,kolor,NOUN,kolor,kolor,"color, colour",Mój ulubiony <b>kolor</b> to niebieski.,My favorite <b>color</b> is blue.,
52,zielony,ADJ,zielony,zielony,green,Trawa w ogrodzie jest soczyście <b>zielona</b>.,The grass in the garden is lush <b>green</b>.,
53,niebieski,ADJ,niebieski,niebieski,blue,"Bezchmurne niebo ma piękny, <b>niebieski</b> odcień.",The cloudless sky has a beautiful <b>blue</b> shade.,
54,różowy,ADJ,różowy,różowy,pink,Dziewczynka założyła swoją ulubioną <b>różową</b> sukienkę.,The girl put on her favorite <b>pink</b> dress.,
55,czarny,ADJ,czarny,czarny,black,Elegancki mężczyzna zawsze nosi <b>czarny</b> garnitur.,An elegant man always wears a <b>black</b> suit.,
56,brązowy,ADJ,brązowy,brązowy,brown,"Mój pies ma gęstą, <b>brązową</b> sierść.",My dog has thick <b>brown</b> fur.,
57,beżowy,ADJ,beżowy,beżowy,beige,"Ściany w sypialni są pomalowane na jasny, <b>beżowy</b> kolor.",The walls in the bedroom are painted in a light <b>beige</b> color.,
58,ciemny,ADJ,ciemny,ciemny,dark,"Zimą dni są krótkie, a wieczory bardzo <b>ciemne</b>.",In winter the days are short and the evenings are very <b>dark</b>.,
59,matowy,ADJ,matowy,matowy,"matte, dull","Wybrałem <b>matowy</b> lakier, żeby meble nie błyszczały.",I chose a <b>matte</b> varnish so the furniture wouldn't shine.,
60,jasny,ADJ,jasny,jasny,"light, bright",Słońce daje bardzo <b>jasne</b> światło w letnie południe.,The sun gives very <b>bright</b> light on a summer noon.,
61,oczywiście,ADV,oczywiście,oczywiście,"of course, certainly",To jest <b>oczywiście</b> prawda.,It is <b>of course</b> true.,
62,podobnie,ADV,podobnie,podobnie,"similarly, likewise",Mój brat myśli <b>podobnie</b> jak ja.,My brother thinks <b>similarly</b> to me.,
63,dodatkowo,ADV,dodatkowo,dodatkowo,"additionally, extra",Musimy <b>dodatkowo</b> zapłacić za bagaż.,We have to pay <b>additionally</b> for the luggage.,
64,znowu,ADV,znowu,znowu,"again, once more",Dlaczego <b>znowu</b> spóźniłeś się do pracy?,Why are you late for work <b>again</b>?,
65,nie wspominając o czymś,PHRASE,nie wspominając o czymś,nie wspominając o czymś,"not to mention, let alone","On nie ma pieniędzy na jedzenie, <b>nie wspominając o czymś</b> do picia.","He has no money for food, <b>not to mention something</b> to drink.",
66,identycznie,ADV,identycznie,identycznie,"identically, exactly the same",Bliźniaczki ubrały się dzisiaj <b>identycznie</b>.,The twins dressed <b>identically</b> today.,
67,względnie,ADV,względnie,względnie,"relatively, comparatively",To mieszkanie jest <b>względnie</b> tanie jak na tę okolicę.,This apartment is <b>relatively</b> cheap for this area.,
68,także,CONJ,także,także,"also, as well","Ona zna język angielski, a <b>także</b> francuski.","She knows English, and <b>also</b> French.",
69,i,CONJ,i,i,and,Lubię kawę <b>i</b> herbatę.,I like coffee <b>and</b> tea.,
70,też,PART,też,też,"too, also",Ja <b>też</b> chcę iść dzisiaj do kina.,I <b>also</b> want to go to the cinema today.,
71,w połączeniu z,PHRASE,w połączeniu z,w połączeniu z,"coupled with, in combination with",Wino <b>w połączeniu z</b> serem smakuje wyśmienicie.,Wine <b>coupled with</b> cheese tastes delicious.,
72,następnie,ADV,następnie,następnie,"then, subsequently","Najpierw poszedł do sklepu, a <b>następnie</b> do banku.","First he went to the shop, and <b>then</b> to the bank.",
73,piec,VERB,piec,piec,"bake, roast",Moja babcia lubi <b>piec</b> pyszne ciasta drożdżowe.,My grandmother likes to <b>bake</b> delicious yeast cakes.,
74,piec,NOUN,piec,piec,"oven, stove",Musimy wymienić stary <b>piec</b> w kuchni na nowszy model.,We need to replace the old <b>stove</b> in the kitchen with a newer model.,
75,wołowina,NOUN,wołowina,wołowina,beef,Duszona <b>wołowina</b> została podana z ziemniakami.,Braised <b>beef</b> was served with potatoes.,
76,śmietanka,NOUN,śmietanka,śmietanka,cream,Czy chciałbyś <b>śmietankę</b> do swojej kawy?,Would you like <b>cream</b> for your coffee?,
77,chleb,NOUN,chleb,chleb,bread,Codziennie rano kupuję świeży <b>chleb</b> w piekarni.,Every morning I buy fresh <b>bread</b> at the bakery.,
78,danie,NOUN,danie,danie,"dish, course",Moje ulubione <b>danie</b> to pierogi z kapustą i grzybami.,My favorite <b>dish</b> is dumplings with cabbage and mushrooms.,
79,pyszny,ADJ,pyszny,pyszny,"delicious, tasty",Ten sernik upieczony przez mamę jest <b>pyszny</b>.,This cheesecake baked by mom is <b>delicious</b>.,
80,jajko,NOUN,jajko,jajko,egg,Zjadłem na śniadanie jedno <b>jajko</b> ugotowane na miękko.,I ate one soft-boiled <b>egg</b> for breakfast.,
81,smażyć,VERB,smażyć,smażyć,fry,"Nie lubię <b>smażyć</b> ryb, bo ich zapach długo zostaje w domu.",I don't like to <b>fry</b> fish because their smell stays in the house for a long time.,
82,lody,NOUN,lody,lody,ice cream,Lubię jeść **lody** waniliowe.,I like eating vanilla **ice cream**.,
83,kawa,NOUN,kawa,kawa,coffee,Piję czarną **kawę** co rano.,I drink black **coffee** every morning.,
84,masło,NOUN,masło,masło,butter,Nałóż trochę **masła** na chleb.,Put some **butter** on the bread.,
85,czekolada,NOUN,czekolada,czekolada,chocolate,Gorzka **czekolada** jest bardzo zdrowa.,Dark **chocolate** is very healthy.,
86,ser,NOUN,ser,ser,"cheese, curd",Czy chcesz kanapkę z **serem**?,Do you want a **cheese** sandwich?,
87,posiłek,NOUN,posiłek,posiłek,meal,Śniadanie to najważniejszy **posiłek** dnia.,Breakfast is the most important **meal** of the day.,
88,mleko,NOUN,mleko,mleko,milk,Czy pijesz kawę z **mlekiem**?,Do you drink coffee with **milk**?,
89,cebula,NOUN,cebula,cebula,onion,Muszę pokroić **cebulę** do zupy.,I need to chop the **onion** for the soup.,
90,warzywo,NOUN,warzywo,warzywo,vegetable,Marchewka to moje ulubione **warzywo**.,Carrot is my favorite **vegetable**.,
91,arbuz,NOUN,arbuz,arbuz,watermelon,**Arbuz** jest bardzo orzeźwiający w lecie.,**Watermelon** is very refreshing in the summer.,
92,obiad,NOUN,obiad,obiad,"dinner, lunch",Co dzisiaj jemy na **obiad**?,What are we having for **dinner** today?,
93,ryż,NOUN,ryż,ryż,rice,Wolę **ryż** zamiast ziemniaków.,I prefer **rice** instead of potatoes.,
94,kanapka,NOUN,kanapka,kanapka,sandwich,Zrobiłem pyszną **kanapkę** z szynką.,I made a delicious ham **sandwich**.,
95,sól,NOUN,sól,sól,salt,Podaj mi proszę **sól**.,Please pass me the **salt**.,
96,kiełbasa,NOUN,kiełbasa,kiełbasa,sausage,Polska **kiełbasa** jest znana na całym świecie.,Polish **sausage** is famous all over the world.,
97,sałatka,NOUN,sałatka,sałatka,salad,Ta owocowa **sałatka** jest bardzo słodka.,This fruit **salad** is very sweet.,
98,idiom,NOUN,idiom,idiom,idiom,Muszę nauczyć się nowych **idiomów**.,I need to learn new **idioms**.,
99,kropla w morzu,PHRASE,kropla w morzu,kropla w morzu,"drop in the ocean, drop in the bucket",Te pieniądze to tylko **kropla w morzu** potrzeb.,This money is just a **drop in the ocean** compared to the needs.,
100,bułka z masłem,PHRASE,bułka z masłem,bułka z masłem,"piece of cake, child's play",Ten egzamin to była dla mnie **bułka z masłem**.,This exam was a **piece of cake** for me.,
101,kupować kota w worku,PHRASE,kupować kota w worku,kupować kota w worku,"buy a pig in a poke, buy blindly","Nigdy nie kupuj używanego auta, żeby nie **kupować kota w worku**.",Never buy a used car so you don't **buy a pig in a poke**.,
102,klepać biedę,PHRASE,klepać biedę,klepać biedę,"live from hand to mouth, be dirt poor","Przez wiele lat musieli <b>klepać biedę</b>, zanim znaleźli stałą pracę.",For many years they had to <b>live from hand to mouth</b> before they found steady jobs.,
103,być czyimś oczkiem w głowie,PHRASE,być czyimś oczkiem w głowie,być czyimś oczkiem w głowie,"be the apple of someone's eye, be a favorite",Najmłodsza córka zawsze <b>była oczkiem w głowie</b> dziadka.,The youngest daughter was always <b>the apple of</b> her grandfather's <b>eye</b>.,
104,puścić farbę,PHRASE,puścić farbę,puścić farbę,"spill the beans, blab, let the cat out of the bag",Przesłuchiwany w końcu pękł i <b>puścił farbę</b> na temat planowanego napadu.,The suspect finally cracked and <b>spilled the beans</b> about the planned robbery.,
105,upiec dwie pieczenie na jednym ogniu,PHRASE,upiec dwie pieczenie na jednym ogniu,upiec dwie pieczenie na jednym ogniu,"kill two birds with one stone, achieve two goals at once","Jadąc do Warszawy na konferencję, <b>upiekł dwie pieczenie na jednym ogniu</b> i odwiedził rodzinę.","By going to Warsaw for the conference, he <b>killed two birds with one stone</b> and visited his family.",
106,kopnąć w kalendarz,PHRASE,kopnąć w kalendarz,kopnąć w kalendarz,"kick the bucket, buy the farm, die","Dowiedzieliśmy się, że ich stary sąsiad wczoraj <b>kopnął w kalendarz</b>.",We found out that their old neighbor <b>kicked the bucket</b> yesterday.,
107,owijać w bawełnę,PHRASE,owijać w bawełnę,owijać w bawełnę,"beat around the bush, mince words","Przestań <b>owijać w bawełnę</b> i powiedz wprost, o co ci chodzi.",Stop <b>beating around the bush</b> and say directly what you mean.,
108,wetknąć kij w mrowisko,PHRASE,wetknąć kij w mrowisko,wetknąć kij w mrowisko,"stir up a hornets' nest, put the cat among the pigeons",Jego kontrowersyjna wypowiedź o podatkach <b>wetknęła kij w mrowisko</b>.,His controversial statement about taxes <b>stirred up a hornets' nest</b>.,
109,puścić kogoś z torbami,PHRASE,puścić kogoś z torbami,puścić kogoś z torbami,"bankrupt someone, ruin someone, take someone to the cleaners",Ten nietrafiony interes w krótkim czasie <b>puścił go z torbami</b>.,That failed business deal <b>bankrupted him</b> in a short amount of time.,
110,nie zostawić na kimś suchej nitki,PHRASE,nie zostawić na kimś suchej nitki,nie zostawić na kimś suchej nitki,"tear someone to shreds, haul someone over the coals",Krytycy po premierze filmu <b>nie zostawili na reżyserze suchej nitki</b>.,"After the movie premiere, the critics <b>tore the director to shreds</b>.",
111,zapędzić kogoś w kozi róg,PHRASE,zapędzić kogoś w kozi róg,zapędzić kogoś w kozi róg,"back someone into a corner, outwit, corner someone",Podczas debaty <b>zapędziła go w kozi róg</b> swoimi trafnymi argumentami.,"During the debate, she <b>backed him into a corner</b> with her accurate arguments.",
112,nie wywoływać wilka z lasu,PHRASE,nie wywoływać wilka z lasu,nie wywoływać wilka z lasu,"let sleeping dogs lie, speak of the devil",Lepiej <b>nie wywołuj wilka z lasu</b> i nie wspominaj teraz o pieniądzach.,You'd better <b>let sleeping dogs lie</b> and not mention money right now.,
113,zamieniać się w słuch,PHRASE,zamieniać się w słuch,zamieniać się w słuch,"be all ears, listen intently","Opowiedz nam o swojej podróży, wszyscy <b>zamieniamy się w słuch</b>.","Tell us about your trip, we <b>are all ears</b>.",
114,wpaść z deszczu pod rynnę,PHRASE,wpaść z deszczu pod rynnę,wpaść z deszczu pod rynnę,"out of the frying pan into the fire, from bad to worse","Zmienił pracę, bo była nudna, ale w nowej <b>wpadł z deszczu pod rynnę</b>.","He changed jobs because it was boring, but in the new one he went <b>out of the frying pan into the fire</b>.",
115,mieć serce na dłoni,PHRASE,mieć serce na dłoni,mieć serce na dłoni,"wear one's heart on one's sleeve, be kindhearted",Mój dziadek zawsze <b>miał serce na dłoni</b> i każdemu chętnie pomagał.,My grandfather always <b>wore his heart on his sleeve</b> and was happy to help everyone.,
116,wyraźnie,ADV,wyraźnie,wyraźnie,"clearly, explicitly, distinctly","Musisz pisać <b>wyraźnie</b>, żeby nauczyciel mógł to odczytać.",You must write <b>clearly</b> so that the teacher can read it.,
117,zadziwiająco,ADV,zadziwiająco,zadziwiająco,"surprisingly, astonishingly, amazingly",Projekt został ukończony <b>zadziwiająco</b> szybko.,The project was completed <b>surprisingly</b> quickly.,
118,często,ADV,często,często,"often, frequently, commonly",Jak <b>często</b> chodzisz na basen w ciągu tygodnia?,How <b>often</b> do you go to the pool during the week?,
119,znacznie,ADV,znacznie,znacznie,"significantly, considerably, much",Ceny paliwa są <b>znacznie</b> wyższe niż w zeszłym roku.,Fuel prices are <b>significantly</b> higher than last year.,
120,w ogóle,ADV,w ogóle,w ogóle,"at all, in general, generally","Nie rozumiem, dlaczego ona <b>w ogóle</b> nie odbiera telefonu.",I don't understand why she isn't answering the phone <b>at all</b>.,
121,w szczególności,ADV,w szczególności,w szczególności,"in particular, specifically, especially","Interesuję się historią, a <b>w szczególności</b> okresem renesansu.","I am interested in history, and the Renaissance period <b>in particular</b>.",
122,rzeczywiście,ADV,rzeczywiście,rzeczywiście,"indeed, actually, really",On **rzeczywiście** nie wiedział o niczym.,He **actually** didn't know about anything.,
123,prawdziwie,ADV,prawdziwie,prawdziwie,"truly, genuinely, really",To był **prawdziwie** magiczny moment.,It was a **truly** magical moment.,
124,głównie,ADV,głównie,głównie,"mainly, chiefly, mostly",Skupiamy się **głównie** na jakości naszych usług.,We focus **mainly** on the quality of our services.,
125,zdecydowanie,ADV,zdecydowanie,zdecydowanie,"definitely, certainly, decidedly",To jest **zdecydowanie** najlepszy film tego roku.,This is **definitely** the best movie of this year.,
126,zwłaszcza,ADV,zwłaszcza,zwłaszcza,"especially, particularly, notably","Lubię polskie jedzenie, **zwłaszcza** pierogi.","I like Polish food, **especially** dumplings.",
127,jak na przykład,PHRASE,jak na przykład,jak na przykład,"such as, for example, for instance","Kup owoce, **jak na przykład** jabłka lub gruszki.","Buy some fruit, **such as** apples or pears.",
128,innymi słowy,PHRASE,innymi słowy,innymi słowy,in other words,"**Innymi słowy**, musimy zacząć projekt od nowa.","**In other words**, we have to start the project over.",
129,czas,NOUN,czas,czas,"time, duration","Nie mam teraz **czasu**, żeby o tym rozmawiać.",I don't have **time** to talk about it now.,
130,godzina,NOUN,godzina,godzina,"hour, time",Czekam na ciebie już całą **godzinę**.,I have been waiting for you for a whole **hour**.,
131,minuta,NOUN,minuta,minuta,minute,"Daj mi jedną **minutę**, muszę coś sprawdzić.","Give me one **minute**, I need to check something.",
132,sekunda,NOUN,sekunda,sekunda,second,"Poczekaj tylko jedną **sekundę**, zaraz wracam.","Wait just one **second**, I'll be right back.",
133,rano,ADV,rano,rano,"in the morning, early",Codziennie **rano** piję gorącą kawę.,Every day **in the morning** I drink hot coffee.,
134,popołudnie,NOUN,popołudnie,popołudnie,afternoon,W to słoneczne **popołudnie** poszliśmy na spacer.,On this sunny **afternoon** we went for a walk.,
135,wieczór,NOUN,wieczór,wieczór,evening,Zawsze czytam książkę przed snem w **wieczór**.,I always read a book before bed in the **evening**.,
136,która jest godzina?,PHRASE,która jest godzina?,która jest godzina?,what time is it?,"Przepraszam, czy wie pan, **która jest godzina**?","Excuse me, do you know **what time it is**?",
137,po,PREP,po,po,"after, post",Zadzwoń do mnie **po** pracy.,Call me **after** work.,
138,wiek,NOUN,wiek,wiek,age,W jakim **wieku** zacząłeś naukę polskiego?,At what **age** did you start learning Polish?,
139,wiek,NOUN,wiek,wiek,"century, age",Mury tego zamku pamiętają dziesiąty **wiek**.,The walls of this castle remember the tenth **century**.,
140,temu,ADV,temu,temu,"ago, back",Widzieliśmy się dwa lata **temu**.,We saw each other two years **ago**.,
141,zawsze,ADV,zawsze,zawsze,"always, forever",Ty **zawsze** zapominasz o swoich kluczach.,You **always** forget about your keys.,
142,kwiecień,NOUN,kwiecień,kwiecień,April,W Polsce **kwiecień** bywa bardzo kapryśny.,"In Poland, **April** can be very fickle.",
143,sierpień,NOUN,sierpień,sierpień,August,Mój brat obchodzi urodziny w <b>sierpniu</b>.,My brother celebrates his birthday in <b>August</b>.,
144,wiosna,NOUN,wiosna,wiosna,spring,<b>Wiosna</b> to moja ulubiona pora roku.,<b>Spring</b> is my favorite season.,
145,lato,NOUN,lato,lato,summer,W <b>lecie</b> często jeździmy nad morze.,"In <b>summer</b>, we often go to the seaside.",
146,wrzesień,NOUN,wrzesień,wrzesień,September,Rok szkolny zaczyna się we <b>wrześniu</b>.,The school year starts in <b>September</b>.,
147,sezon,NOUN,sezon,sezon,season,Teraz jest <b>sezon</b> na truskawki.,It is strawberry <b>season</b> now.,
148,czerwiec,NOUN,czerwiec,czerwiec,June,Dni są najdłuższe w <b>czerwcu</b>.,Days are the longest in <b>June</b>.,
149,marzec,NOUN,marzec,marzec,March,W <b>marcu</b> pogoda bywa bardzo zmienna.,"In <b>March</b>, the weather can be very changeable.",
150,lipiec,NOUN,lipiec,lipiec,July,<b>Lipiec</b> to czas wakacyjnych wyjazdów.,<b>July</b> is a time for holiday trips.,
151,maj,NOUN,maj,maj,May,W <b>maju</b> wszystko zaczyna kwitnąć.,"In <b>May</b>, everything starts to bloom.",
152,styczeń,NOUN,styczeń,styczeń,January,<b>Styczeń</b> jest pierwszym miesiącem roku.,<b>January</b> is the first month of the year.,
153,luty,NOUN,luty,luty,February,<b>Luty</b> to najkrótszy miesiąc w kalendarzu.,<b>February</b> is the shortest month in the calendar.,
154,październik,NOUN,październik,październik,October,Liście zmieniają kolory w <b>październiku</b>.,Leaves change colors in <b>October</b>.,
155,grudzień,NOUN,grudzień,grudzień,December,Boże Narodzenie obchodzimy w <b>grudniu</b>.,We celebrate Christmas in <b>December</b>.,
156,listopad,NOUN,listopad,listopad,November,W <b>listopadzie</b> dni stają się coraz krótsze.,"In <b>November</b>, the days are getting shorter.",
157,zegar,NOUN,zegar,zegar,"clock, timepiece",Stary <b>zegar</b> na ścianie przestał chodzić.,The old <b>clock</b> on the wall stopped working.,
158,wieczność,NOUN,wieczność,wieczność,eternity,Czekałem na ciebie całą <b>wieczność</b>.,I waited for you for an <b>eternity</b>.,
159,do tego czasu,PHRASE,do tego czasu,do tego czasu,"by then, until then",Muszę skończyć projekt <b>do tego czasu</b>.,I must finish the project <b>by then</b>.,
160,stulecie,NOUN,stulecie,stulecie,"century, hundred years",Ten zamek został zbudowany w ubiegłym <b>stuleciu</b>.,This castle was built in the last <b>century</b>.,
161,koniec roku,PHRASE,koniec roku,koniec roku,end of the year,Zawsze robimy podsumowanie na <b>koniec roku</b>.,We always make a summary at the <b>end of the year</b>.,
162,wcześnie rano,PHRASE,wcześnie rano,wcześnie rano,early in the morning,"Lubię biegać <b>wcześnie rano</b>, gdy jest jeszcze chłodno.",I like to run <b>early in the morning</b> when it's still cool.,
163,kalendarz,NOUN,kalendarz,kalendarz,"calendar, almanac",Spójrz w <b>kalendarz</b> i sprawdź datę.,Look at the <b>calendar</b> and check the date.,
164,co tydzień,ADV,co tydzień,co tydzień,"every week, weekly",Chodzę na basen <b>co tydzień</b>.,I go to the swimming pool <b>every week</b>.,
165,nagle,ADV,nagle,nagle,"suddenly, abruptly",<b>Nagle</b> usłyszałem głośny hałas za oknem.,<b>Suddenly</b> I heard a loud noise behind the window.,
166,za dnia,ADV,za dnia,za dnia,"in the daytime, by day","Lepiej podróżować <b>za dnia</b>, kiedy jest widno.",It is better to travel <b>in the daytime</b> when it is light out.,
167,pojutrze,ADV,pojutrze,pojutrze,day after tomorrow,Mam ważny egzamin <b>pojutrze</b> rano.,I have an important exam the <b>day after tomorrow</b> in the morning.,
168,teraźniejszość,NOUN,teraźniejszość,teraźniejszość,"present, current time","Skup się na <b>teraźniejszości</b>, a nie na przeszłości.","Focus on the <b>present</b>, not the past.",
169,niedawno,ADV,niedawno,niedawno,"recently, not long ago",Widziałem go <b>niedawno</b> w sklepie spożywczym.,I saw him <b>recently</b> at the grocery store.,
170,brak czasu,NOUN,brak czasu,brak czasu,"lack of time, shortage of time",Moim głównym problemem jest ciągły <b>brak czasu</b>.,My main problem is a constant <b>lack of time</b>.,
171,lada chwila,ADV,lada chwila,lada chwila,"any moment, any minute",Pociąg powinien przyjechać <b>lada chwila</b>.,The train should arrive <b>any moment</b>.,
172,lada dzień,ADV,lada dzień,lada dzień,"any day now, shortly",Wyniki konkursu będą znane <b>lada dzień</b>.,The results of the competition will be known <b>any day now</b>.,
173,dziś wieczorem,ADV,dziś wieczorem,dziś wieczorem,"tonight, this evening",Spotykamy się <b>dziś wieczorem</b> w kinie.,We are meeting <b>this evening</b> at the cinema.,
